no,brand,model,year,zone,url
16,BMW,X5 xDrive40i (Automatico),2024,Toluca,https://www.google.com/search?q=BMW+X5+xDrive40i+%28Automatico%29+2024+Toluca+seminuevo
16,BMW,X5 xDrive40i (Automatico),2024,CDMX,https://www.google.com/search?q=BMW+X5+xDrive40i+%28Automatico%29+2024+CDMX+seminuevo
16,BMW,X5 xDrive40i (Automatico),2024,Metepec,https://www.google.com/search?q=BMW+X5+xDrive40i+%28Automatico%29+2024+Metepec+seminuevo
18,MINI,Cooper SE Classic (Electrico/Aut.),2024,Toluca,https://www.google.com/search?q=MINI+Cooper+SE+Classic+%28Electrico%2FAut.%29+2024+Toluca+seminuevo
18,MINI,Cooper SE Classic (Electrico/Aut.),2024,CDMX,https://www.google.com/search?q=MINI+Cooper+SE+Classic+%28Electrico%2FAut.%29+2024+CDMX+seminuevo
18,MINI,Cooper SE Classic (Electrico/Aut.),2024,Metepec,https://www.google.com/search?q=MINI+Cooper+SE+Classic+%28Electrico%2FAut.%29+2024+Metepec+seminuevo
19,BMW,X1 sDrive18i (Automatico),2023,Toluca,https://www.google.com/search?q=BMW+X1+sDrive18i+%28Automatico%29+2023+Toluca+seminuevo
19,BMW,X1 sDrive18i (Automatico),2023,CDMX,https://www.google.com/search?q=BMW+X1+sDrive18i+%28Automatico%29+2023+CDMX+seminuevo
19,BMW,X1 sDrive18i (Automatico),2023,Metepec,https://www.google.com/search?q=BMW+X1+sDrive18i+%28Automatico%29+2023+Metepec+seminuevo
20,Volkswagen,Terramont Highline 3.6 FSI,2021,Toluca,https://www.google.com/search?q=Volkswagen+Terramont+Highline+3.6+FSI+2021+Toluca+seminuevo
20,Volkswagen,Terramont Highline 3.6 FSI,2021,CDMX,https://www.google.com/search?q=Volkswagen+Terramont+Highline+3.6+FSI+2021+CDMX+seminuevo
20,Volkswagen,Terramont Highline 3.6 FSI,2021,Metepec,https://www.google.com/search?q=Volkswagen+Terramont+Highline+3.6+FSI+2021+Metepec+seminuevo
22,Ford,Expedition Stealth Performance 4X2 3.5L Ecobost,2024,Toluca,https://www.google.com/search?q=Ford+Expedition+Stealth+Performance+4X2+3.5L+Ecobost+2024+Toluca+seminuevo
22,Ford,Expedition Stealth Performance 4X2 3.5L Ecobost,2024,CDMX,https://www.google.com/search?q=Ford+Expedition+Stealth+Performance+4X2+3.5L+Ecobost+2024+CDMX+seminuevo
22,Ford,Expedition Stealth Performance 4X2 3.5L Ecobost,2024,Metepec,https://www.google.com/search?q=Ford+Expedition+Stealth+Performance+4X2+3.5L+Ecobost+2024+Metepec+seminuevo
24,BMW,X2 sDrive 18i Automatico,2021,Toluca,https://www.google.com/search?q=BMW+X2+sDrive+18i+Automatico+2021+Toluca+seminuevo
24,BMW,X2 sDrive 18i Automatico,2021,CDMX,https://www.google.com/search?q=BMW+X2+sDrive+18i+Automatico+2021+CDMX+seminuevo
24,BMW,X2 sDrive 18i Automatico,2021,Metepec,https://www.google.com/search?q=BMW+X2+sDrive+18i+Automatico+2021+Metepec+seminuevo
25,BMW,X1 sDrive20i (Automatico),2022,Toluca,https://www.google.com/search?q=BMW+X1+sDrive20i+%28Automatico%29+2022+Toluca+seminuevo
25,BMW,X1 sDrive20i (Automatico),2022,CDMX,https://www.google.com/search?q=BMW+X1+sDrive20i+%28Automatico%29+2022+CDMX+seminuevo
25,BMW,X1 sDrive20i (Automatico),2022,Metepec,https://www.google.com/search?q=BMW+X1+sDrive20i+%28Automatico%29+2022+Metepec+seminuevo
26,BMW,330e (Hibrido/Aut),2023,Toluca,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+Toluca+seminuevo
26,BMW,330e (Hibrido/Aut),2023,CDMX,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+CDMX+seminuevo
26,BMW,330e (Hibrido/Aut),2023,Metepec,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+Metepec+seminuevo
27,BMW,iX3 M Sport Inspiring (Elect.Automat),2023,Toluca,https://www.google.com/search?q=BMW+iX3+M+Sport+Inspiring+%28Elect.Automat%29+2023+Toluca+seminuevo
27,BMW,iX3 M Sport Inspiring (Elect.Automat),2023,CDMX,https://www.google.com/search?q=BMW+iX3+M+Sport+Inspiring+%28Elect.Automat%29+2023+CDMX+seminuevo
27,BMW,iX3 M Sport Inspiring (Elect.Automat),2023,Metepec,https://www.google.com/search?q=BMW+iX3+M+Sport+Inspiring+%28Elect.Automat%29+2023+Metepec+seminuevo
28,BMW,iX xDrive40 (Electrico/Aut),2024,Toluca,https://www.google.com/search?q=BMW+iX+xDrive40+%28Electrico%2FAut%29+2024+Toluca+seminuevo
28,BMW,iX xDrive40 (Electrico/Aut),2024,CDMX,https://www.google.com/search?q=BMW+iX+xDrive40+%28Electrico%2FAut%29+2024+CDMX+seminuevo
28,BMW,iX xDrive40 (Electrico/Aut),2024,Metepec,https://www.google.com/search?q=BMW+iX+xDrive40+%28Electrico%2FAut%29+2024+Metepec+seminuevo
29,BMW,X4 xDrive 30i (Automatico),2024,Toluca,https://www.google.com/search?q=BMW+X4+xDrive+30i+%28Automatico%29+2024+Toluca+seminuevo
29,BMW,X4 xDrive 30i (Automatico),2024,CDMX,https://www.google.com/search?q=BMW+X4+xDrive+30i+%28Automatico%29+2024+CDMX+seminuevo
29,BMW,X4 xDrive 30i (Automatico),2024,Metepec,https://www.google.com/search?q=BMW+X4+xDrive+30i+%28Automatico%29+2024+Metepec+seminuevo
31,Volvo,EX30 BEV Ultra Electrico Aut,2025,Toluca,https://www.google.com/search?q=Volvo+EX30+BEV+Ultra+Electrico+Aut+2025+Toluca+seminuevo
31,Volvo,EX30 BEV Ultra Electrico Aut,2025,CDMX,https://www.google.com/search?q=Volvo+EX30+BEV+Ultra+Electrico+Aut+2025+CDMX+seminuevo
31,Volvo,EX30 BEV Ultra Electrico Aut,2025,Metepec,https://www.google.com/search?q=Volvo+EX30+BEV+Ultra+Electrico+Aut+2025+Metepec+seminuevo
33,BMW,X5 xDrive45e (Hibrido/Aut),2020,Toluca,https://www.google.com/search?q=BMW+X5+xDrive45e+%28Hibrido%2FAut%29+2020+Toluca+seminuevo
33,BMW,X5 xDrive45e (Hibrido/Aut),2020,CDMX,https://www.google.com/search?q=BMW+X5+xDrive45e+%28Hibrido%2FAut%29+2020+CDMX+seminuevo
